rank,date,ticker,ret,abs_ret
1,2025-09-10,ORCL,0.359488195272069,0.359488195272069
2,2022-02-03,META,-0.2639009782555185,0.2639009782555185
3,2024-08-02,INTC,-0.2605851455985698,0.2605851455985698
4,2022-10-27,META,-0.2455706754507449,0.2455706754507449
5,2023-05-25,NVDA,0.2436963579512727,0.2436963579512727
6,2025-04-09,AMD,0.238204800811929,0.238204800811929
7,2025-10-06,AMD,0.2370802755755683,0.2370802755755683
8,2023-02-02,META,0.2328241905781172,0.2328241905781172
9,2025-09-18,INTC,0.2277108499260538,0.2277108499260538
10,2024-02-02,META,0.2031764433199523,0.2031764433199523
